topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
4,2,4,large,2,1g,4,2,2g,0.5,0.4,true,false,96k,24m,true,80m,lz4,128,true,25.8765,0
4,2,4,large,2,1g,2,1,1g,0.6,0.5,false,true,112k,20m,false,56m,snappy,160,false,25.626,0
4,2,4,large,1,3g,2,3,2g,0.8,0.5,true,false,128k,4m,true,80m,lz4,192,true,31.7665,0
4,2,4,large,1,2g,2,1,2g,0.7,0.7,true,false,32k,12m,false,96m,snappy,160,true,33.4185,0
4,2,4,large,1,1g,2,3,3g,0.4,0.3,false,false,112k,4m,false,72m,lz4,256,false,33.0185,0
4,2,4,large,2,3g,2,1,3g,0.3,0.3,false,true,48k,16m,false,96m,lz4,192,true,26.3175,0
4,2,4,large,1,3g,4,1,1g,0.8,0.4,false,false,128k,18m,false,72m,snappy,224,false,31.4845,0
4,2,4,large,2,2g,4,1,1g,0.7,0.6,true,false,32k,4m,true,80m,snappy,128,true,26.227,0
4,2,4,large,1,4g,3,3,2g,0.4,0.6,true,false,80k,6m,false,64m,snappy,256,false,32.073,0
4,2,4,large,1,4g,3,3,1g,0.7,0.3,true,true,32k,16m,true,96m,snappy,192,true,32.369,0
4,2,4,large,2,2g,2,4,4g,0.4,0.5,true,false,64k,18m,false,56m,snappy,256,false,26.3815,0
4,2,4,large,2,1g,4,2,2g,0.5,0.5,true,false,80k,8m,true,80m,lz4,224,false,25.5895,0
4,2,4,large,1,4g,3,1,1g,0.7,0.3,false,true,128k,16m,true,80m,lz4,160,true,32.2855,0
4,2,4,large,2,4g,3,1,3g,0.4,0.4,false,false,128k,24m,false,64m,snappy,224,false,27.211,0
4,2,4,large,1,1g,3,1,3g,0.7,0.6,false,true,96k,24m,false,64m,lz4,128,true,33.115,0
4,2,4,large,1,1g,2,3,4g,0.4,0.8,true,true,48k,18m,false,72m,lz4,192,true,33.975,0
4,2,4,large,2,1g,2,1,4g,0.5,0.6,true,true,96k,18m,true,64m,snappy,192,true,25.9045,0
4,2,4,large,1,3g,4,4,3g,0.4,0.6,false,true,96k,24m,true,48m,snappy,128,true,32.108,0
4,2,4,large,1,3g,3,4,2g,0.5,0.8,true,false,48k,6m,false,80m,snappy,160,true,31.5925,0
4,2,4,large,1,1g,4,3,2g,0.8,0.5,false,false,64k,10m,false,56m,lz4,224,true,33.2075,0
